symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,InterestPaidCFO,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,PurchaseOfBusiness,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfBusiness,StockBasedCompensation,TaxesRefundPaid
CRH,2017-12-31,12M,EUR,79180363.269909,2938071358.303141,-1252489382.633107,-562660460.205869,-183554478.489335,-219545552.70293,98375602.850493,-134366677.064088,-250737817.021379,-183554478.489335,-562660460.205869,50387503.899033,-3599107.42136,1206900688.62922,1286081051.899129,37190776.687382,-193152098.279627,2561364781.53418,411497948.50877,1373659332.485544,,-70782445.953404,-380305684.190321,13196727.211652,-3221201142.116755,50387503.899033,1211699498.524366,1211699498.524366,-433092593.036927,-2005902536.17103,46788396.477674,2145068023.130264,2415001079.732226,-13196727.211652,778606905.487439,778606905.487439,158360726.539818,-53000000.0,-1252489382.633107,2626148715.118651,195551503.2272,-223144660.124289,-2272236485.351633,-13196727.211652,-1252489382.633107,-433092593.036927,-3599107.42136,266333949.180603,77980660.796123,-568658972.574801
CRH,2017-12-31,12M,USD,,,,,,,,,,,,,,,,,,,,,-70782445.953404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRH,2018-12-31,12M,EUR,69778082.818577,2442232898.650194,-1282315259.66598,-595973461.450469,221917181.423015,-203614733.470602,-64058567.833448,-160146419.583619,-529627087.62297,221917181.423015,-595973461.450469,20590253.946465,-905971173.644475,1225120109.814688,1294898192.633265,54907343.857241,19446350.949439,2683596431.022649,-129261038.663921,889956531.686113,,-1760466712.422787,-383207504.00366,38892701.898879,-1821093571.265157,20590253.946465,1640356897.735072,1640356897.735072,-281400137.26836,-630290551.361245,-885380919.69801,2879203843.51407,3912148249.828415,-2287805.994052,1358956760.466712,1358956760.466712,6863417.982155,,-1282315259.66598,2172271791.352093,324868451.155342,-76641500.800732,-4072294669.412034,-2287805.994052,-1282315259.66598,-281400137.26836,-905971173.644475,3442004118.050789,76641500.800732,-758407687.02814
CRH,2018-12-31,12M,USD,,,,,,,,,,,,,,,,,,,,,-1760466712.422787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRH,2019-12-31,12M,EUR,66090151.447262,2627923649.072498,-1376691459.808227,-654180482.122054,1548077784.747737,-88493592.615826,71691011.739403,-86253248.498969,-71691011.739403,1548077784.747737,-654180482.122054,22403441.168563,-954386593.780805,1722824625.862532,1788914777.309795,39206022.044986,30244645.577561,4206246079.397796,-2552872121.15781,2505824894.703827,,-253158885.204767,-469352092.481405,22403441.168563,218433551.393494,22403441.168563,101935657.316964,101935657.316964,-640738417.420916,1566000537.682588,-931983152.612241,2160811900.707949,2742181199.032171,-32484989.694417,-538802760.103952,-538802760.103952,-61609463.21355,,-1376691459.808227,3882516354.512053,495116049.825253,-3360516.175285,-781880096.782866,-32484989.694417,-1376691459.808227,-640738417.420916,-954386593.780805,2347880634.465454,86253248.498969,-364055918.989157
CRH,2019-12-31,12M,USD,,,,,,,,,,,,,,,,,,,,,-253158885.204767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRH,2020-12-31,12M,USD,70000000.0,4218000000.0,-996000000.0,-707000000.0,3165000000.0,63000000.0,-125000000.0,177000000.0,196000000.0,3165000000.0,-707000000.0,6000000.0,-249000000.0,1624000000.0,1694000000.0,35000000.0,338000000.0,7721000000.0,287000000.0,2942000000.0,-9000000.0,,-432000000.0,0.0,-1060000000.0,6000000.0,6427000000.0,6427000000.0,-4943000000.0,-226000000.0,-243000000.0,1122000000.0,1664000000.0,-1000000.0,1484000000.0,1484000000.0,26000000.0,128000000.0,-996000000.0,3938000000.0,496000000.0,,-405000000.0,-1000000.0,-996000000.0,-4943000000.0,-249000000.0,179000000.0,96000000.0,-558000000.0
CRH,2020-12-31,TTM,USD,70000000.0,4218000000.0,-996000000.0,-707000000.0,3165000000.0,63000000.0,-125000000.0,177000000.0,196000000.0,3165000000.0,-707000000.0,6000000.0,-249000000.0,1624000000.0,1694000000.0,35000000.0,338000000.0,7721000000.0,287000000.0,2942000000.0,-9000000.0,,-432000000.0,0.0,-1060000000.0,6000000.0,6427000000.0,6427000000.0,-4943000000.0,-226000000.0,-243000000.0,1122000000.0,1664000000.0,-1000000.0,1484000000.0,1484000000.0,26000000.0,128000000.0,-996000000.0,3938000000.0,496000000.0,,-405000000.0,-1000000.0,-996000000.0,-4943000000.0,-249000000.0,179000000.0,96000000.0,-558000000.0
